+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EMTGEQK4NNQ1H6PJKNEGD/classes/01HB0EMVZDX297FDTT0EFVH1S4/assignments/scores | 0.096 | 0.096 | 0.096   | 0.096 | 0.096 | 0.096 | 0.096 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMTJEDYNSXSDAS3RG8YE1/classes/01HB0EN3EC1BJ0E2KEBYKTHSA6/assignments/export | 0.280 | 0.280 | 0.280   | 0.280 | 0.280 | 0.280 | 0.280 | 0.000  | 943213.000  | 943213.000  | 943213.000   | 943213.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EP3HK5CEXE5VC113XP9XZ/status                                                | 4.284 | 4.284 | 4.284   | 4.284 | 4.284 | 4.284 | 4.284 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EP75EK9DW9J7PRXZHHMJN/status                                                | 1.428 | 1.428 | 1.428   | 1.428 | 1.428 | 1.428 | 1.428 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0EP16HYQ5BWVVE2J63MMGS/classes/01HB0EPJA9Y7Y7TC5P4729GDBN/assignments        | 0.592 | 0.592 | 0.592   | 0.592 | 0.592 | 0.592 | 0.592 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EP0MWPVA1S966ZEHJ8N3C/classes/01HB0EPBM9YBM2AG4N8TP3W8SX/assignments/export | 0.804 | 0.804 | 0.804   | 0.804 | 0.804 | 0.804 | 0.804 | 0.000  | 47129.000   | 47129.000   | 47129.000    | 47129.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0EP79PT26VBGPEYCPANXZV/classes                                               | 0.392 | 0.392 | 0.392   | 0.392 | 0.392 | 0.392 | 0.392 | 0.000  | 42.000      | 42.000      | 42.000       | 42.000      |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EMVTP7GWYXCRDWCYM4E5T/classes/01HB0EP3T5B4HPVC427KPSV712/assignments/scores | 0.412 | 0.412 | 0.412   | 0.412 | 0.412 | 0.412 | 0.412 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0ENZDJD4G6HYPTZYP3ZY6H/status                                                | 0.040 | 0.040 | 0.040   | 0.040 | 0.040 | 0.040 | 0.040 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMTJ1GWZ55VSKW35WDDK0                                                       | 0.076 | 0.076 | 0.076   | 0.076 | 0.076 | 0.076 | 0.076 | 0.000  | 358.000     | 358.000     | 358.000      | 358.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0ENZTQCFDYJ1FQA32HMFX4/status                                                | 0.092 | 0.092 | 0.092   | 0.092 | 0.092 | 0.092 | 0.092 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMVTFNDZQ9BPE6FTQ1P7M/classes                                               | 0.092 | 0.092 | 0.092   | 0.092 | 0.092 | 0.092 | 0.092 | 0.000  | 218.000     | 218.000     | 218.000      | 218.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMTPTXY6P15YQA1WWT1G5/classes/01HB0EP38SF9DPYEWD4HNHQF68/assignments/export | 1.596 | 1.596 | 1.596   | 1.596 | 1.596 | 1.596 | 1.596 | 0.000  | 70617.000   | 70617.000   | 70617.000    | 70617.000   |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/announcements/01HB0EP8KVXJTH9357E4JZCJXG                                                 | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 339.000     | 339.000     | 339.000      | 339.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EMVTH6D028YYYVXMM4A1W/classes/01HB0EP3TQMB31PJCRJNCYK75K/assignments/scores | 1.532 | 1.532 | 1.532   | 1.532 | 1.532 | 1.532 | 1.532 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0EMVTFNDZQ9BPE6FTQ1P7M/classes/01HB0EP8M5WZMTDB8H5X71XGFR/assignments        | 0.304 | 0.304 | 0.304   | 0.304 | 0.304 | 0.304 | 0.304 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EMVT12TN2HMT9J9T47AXJ/status                                                | 2.408 | 2.408 | 2.408   | 2.408 | 2.408 | 2.408 | 2.408 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMTGJ43VQ98J1YV6QVR8V/classes/01HB0EMWP4CSVTJQVJJNNQ8JCN/assignments/export | 0.228 | 0.228 | 0.228   | 0.228 | 0.228 | 0.228 | 0.228 | 0.000  | 731439.000  | 731439.000  | 731439.000   | 731439.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EP0Y0V7Y6Y0G3WFKTAR1Y/status                                                | 0.632 | 0.632 | 0.632   | 0.632 | 0.632 | 0.632 | 0.632 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0ENZBV67TCQG08GJM6DZ4M/status                                                | 0.084 | 0.084 | 0.084   | 0.084 | 0.084 | 0.084 | 0.084 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EP0CX47AYHBMNJ1294N5C/status                                                | 0.532 | 0.532 | 0.532   | 0.532 | 0.532 | 0.532 | 0.532 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/courses/01HB0EMVWVABVHW7E8NN8TZA9T/classes/01HB0EP93PZEN4A9Z5P6QRAACY/assignments        | 0.132 | 0.132 | 0.132   | 0.132 | 0.132 | 0.132 | 0.132 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMTPXYCGYYHKSAEJ99BQ0                                                       | 0.104 | 0.104 | 0.104   | 0.104 | 0.104 | 0.104 | 0.104 | 0.000  | 379.000     | 379.000     | 379.000      | 379.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMVTD5FZM0XJ1ERA9VH6S/classes/01HB0EP4482XQRRNXNCGZ3KJJQ/assignments/export | 0.160 | 0.160 | 0.160   | 0.160 | 0.160 | 0.160 | 0.160 | 0.000  | 566591.000  | 566591.000  | 566591.000   | 566591.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMVTP7GWYXCRDWCYM4E5T/classes/01HB0EP3T5B4HPVC427KPSV712/assignments/export | 0.400 | 0.400 | 0.400   | 0.400 | 0.400 | 0.400 | 0.400 | 0.000  | 377029.000  | 377029.000  | 377029.000   | 377029.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/courses/01HB0EMVWVABVHW7E8NN8TZA9T/classes                                               | 0.076 | 0.076 | 0.076   | 0.076 | 0.076 | 0.076 | 0.076 | 0.000  | 237.000     | 237.000     | 237.000      | 237.000     |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EP0MWPVA1S966ZEHJ8N3C/status                                                | 0.080 | 0.080 | 0.080   | 0.080 | 0.080 | 0.080 | 0.080 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
| 1     | 0   | 1    | 0   | 0   | 0   | PUT    | /api/courses/01HB0EMVTP7GWYXCRDWCYM4E5T/classes/01HB0EPAMTSFYN6DEGPQJ18SNR/assignments/scores | 3.404 | 3.404 | 3.404   | 3.404 | 3.404 | 3.404 | 3.404 | 0.000  | 0.000       | 0.000       | 0.000        | 0.000       |
